Filename	Reason(s)
HE833455	5_CloudMask max (0.0000) is an outlier (IQR method)
HE882692	0_SWIR min (-32768.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HF174703	4_Blue max (65535.0000) is an outlier (IQR method)
HF938742	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (65535.0000) is an outlier (IQR method); 0_SWIR std (19686.7734) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (19855.3262) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (19487.6992) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (19623.6875) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (19692.3672) is an outlier (IQR method)
HG152427	DEM min is suspiciously low: -32768.00; 1_NIR max (9889.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HG223215	DEM min is suspiciously low: -32768.00; 0_SWIR max (39527.0000) is an outlier (IQR method); 1_NIR max (41771.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (607.6161) is an outlier (IQR method)
HG272471	5_CloudMask max (0.0000) is an outlier (IQR method)
HG365959	2_Red min (1667.0000) is an outlier (IQR method); 2_Red std (4053.4565) is an outlier (IQR method); 3_Green std (4146.5552) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (6379.9019) is an outlier (IQR method)
HG425087	4_Blue min (-32768.0000) is an outlier (IQR method)
HG470388	1_NIR max (43628.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HG672713	0_SWIR min (4918.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HG753235	0_SWIR min (6291.0000) is an outlier (IQR method); 1_NIR min (2266.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HG953155	DEM min is suspiciously low: -32768.00; 4_Blue min (-32768.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (97.3341) is an outlier (IQR method)
HH124813	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HH368511	5_CloudMask max (0.0000) is an outlier (IQR method)
HH373407	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (19104.2402) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (19146.3223) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (18810.3594) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (18868.0098) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (18823.9590) is an outlier (IQR method)
HH516286	5_CloudMask max (0.0000) is an outlier (IQR method)
HH695604	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (65535.0000) is an outlier (IQR method); 0_SWIR std (21169.1777) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (21806.5508) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (20480.0508) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (65535.0000) is an outlier (IQR method); 3_Green std (20102.0469) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (20370.5684) is an outlier (IQR method)
HI409986	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (22662.4727) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (48975.0000) is an outlier (IQR method); 1_NIR std (25148.9160) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (50813.0000) is an outlier (IQR method); 2_Red std (23801.1387) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (50774.0000) is an outlier (IQR method); 3_Green std (23840.4922) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (52548.0000) is an outlier (IQR method); 4_Blue std (23553.6895) is an outlier (IQR method)
HI594241	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (65535.0000) is an outlier (IQR method); 0_SWIR std (19866.2637) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (19869.6523) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (19769.2070) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (19946.7305) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (20051.8359) is an outlier (IQR method)
HI858510	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (65535.0000) is an outlier (IQR method); 0_SWIR std (8573.2266) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (8440.7471) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (8427.7080) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (8479.5693) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (8498.6846) is an outlier (IQR method)
HI926097	0_SWIR max (65535.0000) is an outlier (IQR method); 1_NIR max (42554.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
HJ236017	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (188.5612) is an outlier (IQR method)
HJ791609	DEM min is suspiciously low: -32768.00; 1_NIR max (12334.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (16115.0713) is an outlier (IQR method)
HJ979645	1_NIR min (3588.0000) is an outlier (IQR method); 2_Red min (302.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HK258737	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (16248.2021) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (16335.0938) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (15782.9736) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (15842.6768) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (15801.2227) is an outlier (IQR method)
HK432270	0_SWIR max (52223.0000) is an outlier (IQR method); 1_NIR max (65454.0000) is an outlier (IQR method); 1_NIR std (7615.4790) is an outlier (IQR method); 2_Red max (65454.0000) is an outlier (IQR method); 2_Red std (6476.1445) is an outlier (IQR method); 3_Green max (65454.0000) is an outlier (IQR method); 3_Green std (6057.4634) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (5806.8086) is an outlier (IQR method)
HK439910	4_Blue max (65535.0000) is an outlier (IQR method)
HK646078	1_NIR min (3192.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HK810062	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (622.2229) is an outlier (IQR method)
HK957287	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (11856.9971) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (12098.9512) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (10821.8955) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (10829.6318) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (10705.3467) is an outlier (IQR method)
HL173957	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (643.4126) is an outlier (IQR method)
HL248249	0_SWIR max (9357.0000) is an outlier (IQR method); 1_NIR max (9545.0000) is an outlier (IQR method)
HL334176	1_NIR max (41959.0000) is an outlier (IQR method)
HL413735	1_NIR max (57588.0000) is an outlier (IQR method); 1_NIR std (8484.5859) is an outlier (IQR method); 2_Red max (53291.0000) is an outlier (IQR method); 2_Red std (8114.9341) is an outlier (IQR method); 3_Green max (59693.0000) is an outlier (IQR method); 3_Green std (10269.2324) is an outlier (IQR method); 4_Blue std (5617.3540) is an outlier (IQR method)
HL573870	5_CloudMask max (0.0000) is an outlier (IQR method)
HL644103	1_NIR max (42767.0000) is an outlier (IQR method); 2_Red max (40060.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
HL948809	0_SWIR max (10153.0000) is an outlier (IQR method); 1_NIR max (9370.0000) is an outlier (IQR method)
HM118048	0_SWIR max (65535.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
HM193670	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (20309.2559) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (20654.7305) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (20513.7051) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (20643.0547) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (20699.8926) is an outlier (IQR method)
HM225710	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (17704.8770) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (17963.5508) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (17426.9766) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (17524.1895) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (17526.8906) is an outlier (IQR method)
HM462127	0_SWIR min (4953.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (41027.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HM729602	5_CloudMask max (0.0000) is an outlier (IQR method)
HN264417	0_SWIR max (65535.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
HN331707	DEM min is suspiciously low: -32768.00; 0_SWIR max (65535.0000) is an outlier (IQR method); 1_NIR max (40027.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (6451.4272) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (167.6516) is an outlier (IQR method)
HN546399	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (10816.0000) is an outlier (IQR method); 0_SWIR std (15309.8574) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (15225.0000) is an outlier (IQR method); 1_NIR std (15340.9531) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (15244.6055) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (15269.7646) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (15204.0430) is an outlier (IQR method)
HN769989	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (205.2121) is an outlier (IQR method)
HN803632	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (13574.9443) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (13679.3291) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (13370.2383) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (13444.4912) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (13454.5908) is an outlier (IQR method)
HN855276	4_Blue max (65535.0000) is an outlier (IQR method)
HO255945	DEM min is suspiciously low: -32768.00; 1_NIR max (38551.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (211.8922) is an outlier (IQR method)
HO283652	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HO448098	DEM min is suspiciously low: -32768.00; 1_NIR max (11508.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HO579113	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (12950.8545) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (12831.7080) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (12523.6963) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (12569.5869) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (12565.3789) is an outlier (IQR method)
HO585280	DEM min is suspiciously low: -32768.00; 0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (12869.3896) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (12829.7246) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (12771.8789) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (12862.1699) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (12938.2969) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (9132.4502) is an outlier (IQR method)
HO847775	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (643.3587) is an outlier (IQR method)
HP660965	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (17299.7266) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (17422.6426) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (17175.7168) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (17270.3789) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (17332.7930) is an outlier (IQR method)
HQ525556	0_SWIR max (10946.0000) is an outlier (IQR method); 1_NIR max (10285.0000) is an outlier (IQR method)
HQ532067	DEM min is suspiciously low: -32768.00; 1_NIR max (13469.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HQ733257	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (252.8387) is an outlier (IQR method)
HQ864305	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (8543.0469) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65454.0000) is an outlier (IQR method); 1_NIR std (13835.0059) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (13600.9131) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (65454.0000) is an outlier (IQR method); 3_Green std (14325.9209) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (10459.6543) is an outlier (IQR method)
HR336164	1_NIR min (2403.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HR403419	0_SWIR min (-32768.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (3762.4434) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (3698.3325) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HR826431	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (18021.0195) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (18162.6777) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (17250.0742) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (17308.7578) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (17133.8477) is an outlier (IQR method)
HS382737	1_NIR min (3654.0000) is an outlier (IQR method); 2_Red min (1554.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HS501574	0_SWIR min (-32768.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HS627953	4_Blue max (65535.0000) is an outlier (IQR method)
HS934963	1_NIR min (1339.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HS937200	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (15226.2080) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (15344.9307) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (14986.8535) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (15075.8438) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (15012.7227) is an outlier (IQR method)
HS968033	4_Blue max (65535.0000) is an outlier (IQR method)
HS987624	4_Blue max (65535.0000) is an outlier (IQR method)
HS990979	4_Blue min (-32768.0000) is an outlier (IQR method)
HT143083	2_Red min (-32768.0000) is an outlier (IQR method); 5_CloudMask max (0.0000) is an outlier (IQR method)
HT615568	0_SWIR min (5840.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HT654231	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (15758.4785) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (15931.1191) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (15330.1592) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (15390.9170) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (15299.0479) is an outlier (IQR method)
HT706435	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (11191.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (10112.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HU409440	0_SWIR max (65535.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
HU453171	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (7251.5352) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (7386.0444) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (6778.5029) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (6790.4072) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (6763.4644) is an outlier (IQR method)
HU526383	1_NIR min (3392.0000) is an outlier (IQR method)
HU775180	DEM min is suspiciously low: -32768.00; 4_Blue max (65535.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (155.8148) is an outlier (IQR method)
HV127351	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (22654.3730) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (44273.0000) is an outlier (IQR method); 1_NIR std (23313.7070) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (42687.0000) is an outlier (IQR method); 2_Red std (21752.8281) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (41989.0000) is an outlier (IQR method); 3_Green std (21669.0293) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (21997.7012) is an outlier (IQR method)
HV305183	4_Blue max (65535.0000) is an outlier (IQR method)
HV440035	4_Blue max (65535.0000) is an outlier (IQR method)
HV707716	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (188.5449) is an outlier (IQR method)
HV732552	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (65535.0000) is an outlier (IQR method); 0_SWIR std (13214.0791) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (13408.9189) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (12184.5166) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (12195.6934) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (12042.0195) is an outlier (IQR method)
HW171087	5_CloudMask max (0.0000) is an outlier (IQR method)
HW404598	DEM min is suspiciously low: -32768.00; 1_NIR max (15397.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HW604990	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (13310.3535) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (13693.3340) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (12713.2344) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (65454.0000) is an outlier (IQR method); 3_Green std (12706.2471) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (12532.5928) is an outlier (IQR method)
HW721632	DEM min is suspiciously low: -32768.00; 0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (9174.4814) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (9206.6445) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (9052.3379) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (9097.0732) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (9125.8584) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (10907.9961) is an outlier (IQR method)
HW844836	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (478.6868) is an outlier (IQR method)
HW989671	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (163.7817) is an outlier (IQR method)
HX147400	DEM min is suspiciously low: -32768.00; 1_NIR max (41892.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HX148826	1_NIR max (14527.0000) is an outlier (IQR method)
HX177961	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (104.3877) is an outlier (IQR method)
HX233511	DEM min is suspiciously low: -32768.00; 4_Blue max (65535.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HX236896	4_Blue max (65535.0000) is an outlier (IQR method)
HX237579	DEM min is suspiciously low: -32768.00; 1_NIR max (13155.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
HX377695	5_CloudMask max (0.0000) is an outlier (IQR method)
HX397979	0_SWIR min (-32768.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
HX667502	DEM min is suspiciously low: -32768.00; 0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (15430.6670) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (15301.4229) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (14173.5195) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (14128.4688) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (13989.1348) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (514.6381) is an outlier (IQR method)
HX688637	4_Blue max (65535.0000) is an outlier (IQR method); 6_DEM std (122.3880) is an outlier (IQR method)
HX803950	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (18502.2793) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (18956.7734) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (16864.1270) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (16838.5762) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (16569.8262) is an outlier (IQR method)
HY200479	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (19603.9668) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (19671.1641) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (19703.9980) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (19823.4004) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (19894.4941) is an outlier (IQR method)
